Method Name,Flow ID,Flow Name,Category,Subcategory,Unit,Impact Factor
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",11,3-Methyl-1-butanol,air,urban air close to ground,kilogram,0.231
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1032,3-Methyl-1-butanol,air,lower stratosphere + upper troposphere,kilogram,0.229
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2459,3-Methyl-1-butanol,water,,kilogram,21.6
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2457,3-Methyl-1-butanol,water,ocean,kilogram,0.00484
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2458,3-Methyl-1-butanol,water,surface water,kilogram,21.6
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2455,3-Methyl-1-butanol,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2456,3-Methyl-1-butanol,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2463,4-Methyl-2-pentanol,water,,kilogram,14.7
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2461,4-Methyl-2-pentanol,water,ocean,kilogram,0.00428
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2462,4-Methyl-2-pentanol,water,surface water,kilogram,14.7
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",12,4-Methyl-2-pentanol,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2460,4-Methyl-2-pentanol,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1037,4-Methyl-2-pentanone,air,,kilogram,0.0195
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1034,4-Methyl-2-pentanone,air,non-urban air or from high stacks,kilogram,0.0197
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1035,4-Methyl-2-pentanone,air,"low population density, long-term",kilogram,0.0197
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",13,4-Methyl-2-pentanone,air,urban air close to ground,kilogram,0.0193
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1036,4-Methyl-2-pentanone,air,lower stratosphere + upper troposphere,kilogram,0.0197
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2468,4-Methyl-2-pentanone,water,,kilogram,6.05
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2466,4-Methyl-2-pentanone,water,ocean,kilogram,0.00134
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2467,4-Methyl-2-pentanone,water,surface water,kilogram,6.05
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2464,4-Methyl-2-pentanone,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2465,4-Methyl-2-pentanone,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",4064,8-Quinolinol,soil,agricultural,kilogram,0.794
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1041,Acenaphthene,air,,kilogram,3.85
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1038,Acenaphthene,air,non-urban air or from high stacks,kilogram,3.31
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1039,Acenaphthene,air,"low population density, long-term",kilogram,3.31
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",15,Acenaphthene,air,urban air close to ground,kilogram,4.39
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1040,Acenaphthene,air,lower stratosphere + upper troposphere,kilogram,3.31
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2473,Acenaphthene,water,,kilogram,4340.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2471,Acenaphthene,water,ocean,kilogram,0.416
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2472,Acenaphthene,water,surface water,kilogram,4340.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2469,Acenaphthene,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2470,Acenaphthene,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3701,Acephate,air,non-urban air or from high stacks,kilogram,25.3
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",17,Acephate,soil,agricultural,kilogram,43.8
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1045,Acetaldehyde,air,,kilogram,0.276
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1042,Acetaldehyde,air,non-urban air or from high stacks,kilogram,0.28
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1043,Acetaldehyde,air,"low population density, long-term",kilogram,0.28
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",18,Acetaldehyde,air,urban air close to ground,kilogram,0.272
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1044,Acetaldehyde,air,lower stratosphere + upper troposphere,kilogram,0.28
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2482,Acetaldehyde,water,,kilogram,47.5
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2480,Acetaldehyde,water,ocean,kilogram,0.0185
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2481,Acetaldehyde,water,surface water,kilogram,47.5
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2478,Acetaldehyde,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2479,Acetaldehyde,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3675,Acetamide,air,non-urban air or from high stacks,kilogram,0.586
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",19,Acetamide,soil,agricultural,kilogram,0.884
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1049,Acetic acid,air,,kilogram,2.2
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1046,Acetic acid,air,non-urban air or from high stacks,kilogram,1.84
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1047,Acetic acid,air,"low population density, long-term",kilogram,1.84
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",20,Acetic acid,air,urban air close to ground,kilogram,2.57
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1048,Acetic acid,air,lower stratosphere + upper troposphere,kilogram,1.84
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2487,Acetic acid,water,,kilogram,49.9
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2485,Acetic acid,water,ocean,kilogram,2.99e-05
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2486,Acetic acid,water,surface water,kilogram,49.9
